id,name,description,neighborhood_overview,host_id,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price
34220,Room available,<b>The space</b><br />This room is part of a two bedroom apartment that is occupied my my wife and I. We are within walking distance to down town Ottawa along the picturesque Rideau Canal. The price listed is for a one week stay (7 days. 7 nights). A con,,147438,Mark,2010-06-18,CA,"",,,,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,1,1,[],f,f,,Capital,,45.40924,-75.679,Private room in apartment,Private room,2,1 bath,1,1,"[""Heating"", ""Long term stays allowed"", ""Breakfast"", ""Wifi"", ""Kitchen"", ""Free parking on premises""]",7,31,7,7,31,31,7,31,,f,0,0,0,0,2021-07-10,0,0,0,,,,,,,,,,,f,1,0,1,0,,202
36642,City Conveniences A Country Setting,"<b>The space</b><br />Are you planning a vacation in the beautiful city of Ottawa, coming here on business, visiting family and or friends, looking or waiting for a permanent place to live, or do you just need a last minute place to stay? Then I welcome ",,157787,Donna,2010-07-04,"Ottawa, Ontario, Canada",I am originally from Nova Scotia but I have lived in Ottawa for 28 years.  I rent rooms in my house as my profession.  I take pride in my home and pleasure in hosting my guests making them feel comfortable and at home.,,,,f,https://a0.muscache.com/im/users/157787/profile_pic/1278440071/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/157787/profile_pic/1278440071/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'facebook', 'reviews']",t,f,,Kitchissippi,,45.40159,-75.74679,Private room in house,Private room,2,2 baths,1,1,"[""Stove"", ""Dishes and silverware"", ""Hot water"", ""Microwave"", ""Wifi"", ""Kitchen"", ""TV with standard cable"", ""Refrigerator"", ""Cable TV"", ""Dishwasher"", ""Shampoo"", ""Backyard"", ""Free parking on premises"", ""Dedicated workspace"", ""Essentials"", ""Carbon monoxide a",3,14,3,3,14,14,3,14,,t,0,0,7,282,2021-07-10,87,0,0,2011,2019,4,4,4,4,4,4,4,,f,1,0,1,0,0,65
59258,Lower level of my house to rent,"Lower 1/2 of bungalow, a separate entrance, 1000 sq.ft.  Open layout, a fireplace, hardwood floors, a very large bedroom, spacious living room and a well sized kitchen with a washer, dryer and dishwasher.<br /><br /><b>The space</b><br />B&B in lower lev",,284351,Elena,2010-11-11,"Ottawa, Ontario, Canada",Canada rocks!,,,,f,https://a0.muscache.com/im/users/284351/profile_pic/1299972470/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/284351/profile_pic/1299972470/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,,Bay,,45.359,-75.80314,Entire apartment,Entire home/apt,4,1 bath,1,1,"[""TV"", ""Heating"", ""Breakfast"", ""Washer"", ""Dryer"", ""Air conditioning"", ""Long term stays allowed"", ""Indoor fireplace"", ""Wifi"", ""Kitchen"", ""Free parking on premises""]",3,730,3,3,730,730,3,730,,f,0,0,0,0,2021-07-10,1,0,0,2011,2011,5,5,4,5,5,5,5,,f,1,1,0,0,0,200
158824,DOWNTOWN/GLEBE HOUSE WITH BACKYARD,"Big 3 bedroom house with backyard in desirable neighbourhood within walking distance to TD Place, the Rideau canal, Dows lake. Bus stop accross the street that will take you to parliament buillding, Byward Market and Rideau Centre in 10 minutes.<br /><br","Very popular neighbourhood surrounded by million dollar heritage homes. Pedestrian friendly, close to shops at Lansdowe Park and TD Place restaurants on Bank and Elgin st, Scenic Ottawa canal and Dows Lake where you can rents kayaks to explore the scenic",87296,Luc,2010-03-02,"Ottawa, Ontario, Canada","World Traveler always interested to meet new people and exchange ideas. Welcome to Ottawa and this beautiful oasis in downtown of the National Capital...close to activities and festivals and a short distance to the Ottawa River, Chinatown, and much more!",,,,f,https://a0.muscache.com/im/pictures/user/576b9ca9-f41e-4088-971b-e232e024d96e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/576b9ca9-f41e-4088-971b-e232e024d96e.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,t,"Ottawa, Ontario, Canada",Capital,,45.40248,-75.69941,Entire house,Entire home/apt,3,1 bath,2,2,"[""TV"", ""Heating"", ""Carbon monoxide alarm"", ""Shampoo"", ""Dryer"", ""Air conditioning"", ""Smoke alarm"", ""Kitchen"", ""Washer"", ""Long term stays allowed"", ""Wifi"", ""Essentials"", ""Fire extinguisher"", ""Free parking on premises""]",3,365,3,3,365,365,3,365,,t,0,0,0,159,2021-07-10,7,0,0,2011,2012,4,5,4,5,4,4,5,,f,1,1,0,0,0,140
261065,Westboro Village Executive Suite,"A tastefully decorated and well equipped upper level apartment with a private walk-up entrance and free parking. In the heart of Westboro Village, one of Ottawa's most desirable neighbourhoods—Enjoy a central location without the hassles of downtown.<b","Westboro Village is a century-old community, and was once the heart of Nepean Township. The old stone town hall still proudly stands on Richmond Road, the original route westward from Bytown. Three blocks to the west is Maplelawn manor, Ottawa's second o",1369632,Glenn,2011-11-04,"Ottawa, Ontario, Canada","My adventurous spirit was awakened when I went on a three-month backpacking trip around Europe after I graduated from university. Each and every year since, I've made a point of travelling somewhere different and interesting. I later discovered my passio",,100,100,t,https://a0.muscache.com/im/users/1369632/profile_pic/1371155770/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1369632/profile_pic/1371155770/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,t,"Ottawa, Ontario, Canada",Kitchissippi,,45.38972,-75.75496,Entire apartment,Entire home/apt,4,1 bath,1,1,"[""Stove"", ""Free street parking"", ""Dishes and silverware"", ""Hot water"", ""Microwave"", ""Oven"", ""Indoor fireplace"", ""Wifi"", ""Patio or balcony"", ""Kitchen"", ""TV with standard cable"", ""Refrigerator"", ""Cable TV"", ""Dishwasher"", ""Shampoo"", ""Free parking on premise",3,180,3,3,180,180,3,180,,t,0,0,0,100,2021-07-10,64,2,0,2011,2019,4,5,4,4,4,4,4,,f,1,1,0,0,0,155
336692,Quiet Room with a view in the Ottawa Downtown,"Renting only to females. Modern condo with panoramic river view is 5 min walk to the Parliament. Comfortable room has full size bed, desk and closet. Living room, well equipped kitchen and bathroom are shared. Plenty of walks and bike paths around. My pl",Walking distance to:<br />-Parliament<br />-Downtown<br />-Byward market<br />-Chinatown<br />-Little italy<br />-Rideau canal<br />-Ottawa river<br />-Buses<br />-Biking <br />-NAC<br />-National Art gallery<br />-Many museums<br />-Central library<br /,1712975,Elena,2012-02-07,"Ottawa, Ontario, Canada","I am Elena. I work as a social worker. I am a peaceful person living in beautiful Ottawa and often travelling using Airbnb myself. My hobbies are yoga, tango, creative movement, cooking and cultural events. I am always ready to share my authentic food an",,,,f,https://a0.muscache.com/im/pictures/user/599a49a1-fc7e-47e8-a582-4eec25e530ee.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/599a49a1-fc7e-47e8-a582-4eec25e530ee.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id']",t,t,"Ottawa, Ontario, Canada",Somerset,,45.41557,-75.70551,Private room in apartment,Private room,5,1 shared bath,1,1,"[""Stove"", ""Dishes and silverware"", ""Hot water"", ""Microwave"", ""Oven"", ""Breakfast"", ""Wifi"", ""Patio or balcony"", ""Kitchen"", ""TV with standard cable"", ""Refrigerator"", ""Cable TV"", ""Dishwasher"", ""Shampoo"", ""Elevator"", ""Gym"", ""Luggage dropoff allowed"", ""Dedicat",1,300,1,1,300,300,1,300,,t,2,30,60,335,2021-07-10,9,0,0,2017,2019,5,5,5,5,4,5,5,,f,1,0,1,0,0,69
365499,"Centrally - located Private Room, for females ONLY","This lovely room has a comfortable double bed with full linens, desk, lamp and overhead lighting, a fake fireplace with large mantel.  The window has adjustable blinds.  The artwork is female nudes. There is a small portable closet with area for hanging ","This is my favourite Ottawa neighbourhood!  It's walkable, within walking distance to the nearby neighbourhoods of Centretown, Chinatown,  Old Ottawa South and Main Street. The Glebe has a mixed population with many students, as it is located equidistant",1356353,Anna,2011-10-31,"Ottawa, Ontario, Canada","I am a mature, Jewish, lesbian, rabbi and kohenet/Hebrew Priestess, who works from home as a coach, counsellor, educator and spiritual director.  
I love hosting, and regularly have potluck dinners in my home!  I have been cooking since I was a child, an",,100,91,t,https://a0.muscache.com/im/pictures/user/d8981879-ba96-427e-b865-bc35eedaf792.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d8981879-ba96-427e-b865-bc35eedaf792.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'facebook', 'reviews', 'offline_government_id', 'government_id']",t,t,"Ottawa, Ontario, Canada",Capital,,45.40546,-75.6928,Private room in apartment,Private room,1,1 shared bath,1,2,"[""Hot water kettle"", ""Free street parking"", ""Dishes and silverware"", ""Hot water"", ""Microwave"", ""Wifi"", ""Kitchen"", ""Wine glasses"", ""Cleaning before checkout"", ""Baking sheet"", ""Dining table"", ""Refrigerator"", ""Toaster"", ""Dishwasher"", ""Free dryer \u2013 In u",1,30,1,1,30,30,1,30,,t,2,15,15,87,2021-07-11,200,38,0,2014,2021,4,4,4,4,4,4,4,,f,1,0,1,0,2,44
413300,Loft-style 2 BR in ByWard Market,"Welcome to your home away from home, 2 bedrooms on a quiet tree-lined street just steps to all the action of the ByWard Market, National Gallery, and easy access to embassies, shopping, Parliament, Rideau Centre, and Rideau Station on the O-Train LRT. Ex","The ByWard Market is Ottawa's most vibrant neighbourhood, with a daily outdoor market, many specialty food stores, lots of restaurants and bars, and adjacent to the main shopping centre. Located at the northern, residential edge you get the best of both ",1707813,Geoffrey,2012-02-06,"Ottawa, Ontario, Canada","I'm from Ottawa, Canada and am a chronic traveller - enjoying the highs and lows of travel wherever and whenever I find an excuse to go.",,,,f,https://a0.muscache.com/im/users/1707813/profile_pic/1402245717/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1707813/profile_pic/1402245717/original.jpg?aki_policy=profile_x_medium,,0,0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t,"Ottawa, 1, Canada",Rideau-Vanier,,45.43399,-75.69105,Entire apartment,Entire home/apt,4,1 bath,2,2,"[""Stove"", ""Free street parking"", ""Dishes and silverware"", ""Hot water"", ""Microwave"", ""Oven"", ""Wifi"", ""Patio or balcony"", ""Kitchen"", ""Lockbox"", ""TV"", ""Baking sheet"", ""Refrigerator"", ""Dishwasher"", ""Single level home"", ""Shampoo"", ""Backyard"", ""Luggage dropoff",2,29,2,2,1125,1125,2,1125,,t,0,0,0,0,2021-07-10,44,0,0,2015,2020,4,4,4,4,4,4,4,,f,1,1,0,0,0,90
490182,Basement Studio - Old Ottawa East,"<b>The space</b><br />Our house is located in Old Ottawa East, situated between the Rideau Canal and Ottawa River. Downtown Ottawa is only a 20 minute easy walk. Our cozy basement studio is accessed through a separate side entrance and features a kitchen","The worlds longest skating rink, a UNESCO heritage site, the Rideau Canal, is only a 5  minute walk. The General Hospital and CHEO on Smyth, are a 5 minute drive. Our neighborhood is very pedestrian and green. The nearby Brentwood park features open air ",2401179,Ela,2012-05-17,"Ottawa, Ontario, Canada","We are from Ottawa, Canada. We are both architects and we designed and built Villa Pavela as our tropical get away from the long canadian winters.

We love traveling to Central America, Europe and other destinations where people are resourceful and hav",,100,95,f,https://a0.muscache.com/im/users/2401179/profile_pic/1359319135/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2401179/profile_pic/1359319135/original.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,"Ottawa, 1, Canada",Capital,,45.40453,-75.67695,Private room in house,Private room,1,1 private bath,1,1,"[""Free street parking"", ""Dishes and silverware"", ""Hot water"", ""Wifi"", ""Kitchen"", ""TV with standard cable"", ""Cable TV"", ""Shampoo"", ""Dedicated workspace"", ""Essentials"", ""Carbon monoxide alarm"", ""Dryer"", ""Fire extinguisher"", ""Hair dryer"", ""Heating"", ""Privat",30,365,30,30,365,365,30,365,,t,0,0,0,0,2021-07-10,8,2,0,2018,2020,5,5,5,5,5,4,4,,f,1,0,1,0,0,40
674799,"Half-basement apt. guest private entrance, 3-bdrm","GREAT for a family or a group.<br /><br />Return single traveller can ask for better price.<br /><br />Half-basement apartment with guest private entrance, kitchen, bathroom, eating & living areas, 3 bedrooms, 3 queen beds, plus 1 single bed & 1 futon of",,2058676,William,2012-04-02,"Ottawa, Ontario, Canada",We are a family that has been living in Ottawa for years. I am a statistician for Federal government and my wife works for City of Ottawa. We love traveling and do our trips whenever there is a chance. We used a lot of Airbnb and B&B. We know what a trav,,100,0,f,https://a0.muscache.com/im/pictures/user/92bb7628-d41f-4ab9-9504-87032baa65fb.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/92bb7628-d41f-4ab9-9504-87032baa65fb.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual']",t,t,,Gloucester-South Nepean,,45.26725,-75.72269,Private room in house,Private room,7,1 private bath,3,5,"[""Free street parking"", ""Dishes and silverware"", ""Hot water"", ""Microwave"", ""Wifi"", ""Kitchen"", ""First aid kit"", ""Refrigerator"", ""Shampoo"", ""Free parking on premises"", ""Dedicated workspace"", ""Essentials"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Fire ",2,7,2,2,7,7,2,7,,t,27,57,87,362,2021-07-10,42,0,0,2013,2019,4,4,4,4,4,4,4,,f,1,0,1,0,0,48
678641,Lovely private bed/bath -Centretown (private home),"Perfect for those traveling on business or pleasure who want to treat themselves to the comforts of home with access to all that downtown has to offer!  Centrally located within walking distance to Glebe, Little Italy, parliament, museums, and more!<br /","Unsurprisingly, Centretown is central to pretty much everything! Please click on our profile ""guidebook"" icon to view a map of nearby cafes, restaurants, grocery stores, parks, theatres, etc. There are many (many!) more, of course, but some recommended s",3453855,Kate & Dan,2012-09-03,"Ottawa, Ontario, Canada","We are an active couple who spend as much time as possible playing outdoors. We appreciate nature, and both work in the environmental field. We love to cook and entertain, spend time with friends, and volunteer. We are well traveled (and there are still ",,100,0,t,https://a0.muscache.com/im/users/3453855/profile_pic/1346648918/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3453855/profile_pic/1346648918/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,"Ottawa, Ontario, Canada",Somerset,,45.4082,-75.69908,Private room in house,Private room,2,1 private bath,1,0,"[""Stove"", ""Free street parking"", ""Dishes and silverware"", ""Hot water"", ""Microwave"", ""Oven"", ""Indoor fireplace"", ""Wifi"", ""Kitchen"", ""Lockbox"", ""First aid kit"", ""Refrigerator"", ""Dishwasher"", ""Shampoo"", ""Luggage dropoff allowed"", ""Free parking on premises"",",20,100,20,20,100,100,20,100,,t,0,0,0,0,2021-07-10,126,0,0,2014,2018,4,4,4,4,4,4,4,,f,1,0,1,0,1,65
682632,"Adorable 2 bdrm, Central Ottawa PD1","This an adorable property with two bedrooms, full bathroom, kitchen with island bar and dining table, living room, summer sun room, backyard patio and deck and garden. A lovely boutique property at 800 sq feet suits a couple perfectly:)<br /><br />We pre","This is one of the trediest, most walkable neighbourhoods in Ottawa. Close to shops, restaurants, bike and walking paths, beaches, live theatre, art galleries...it is a great location to enjoy Ottawa from.",3201295,Greg And Valerie,2012-08-08,"Ottawa, Ontario, Canada","Hi! I'm Greg, Calgary born and happily transplanted to Ottawa. Educated and employed as an Economist,  I am also a trained Heritage Carpenter.  Owning and maintaining real estate is a passion of mine.  Giving back to the community is important to me and ",,100,100,t,https://a0.muscache.com/im/users/3201295/profile_pic/1422556870/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3201295/profile_pic/1422556870/original.jpg?aki_policy=profile_x_medium,Braemar Park - Bel Air Heights - Copeland Park,7,7,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,t,"Ottawa, Ontario, Canada",Kitchissippi,,45.40269,-75.73023,Entire house,Entire home/apt,4,1 bath,2,2,"[""Stove"", ""Free street parking"", ""Dishes and silverware"", ""Hot water"", ""Microwave"", ""Oven"", ""Wifi"", ""Patio or balcony"", ""Kitchen"", ""TV with standard cable"", ""Baking sheet"", ""First aid kit"", ""Refrigerator"", ""Cable TV"", ""Dishwasher"", ""Shampoo"", ""Backyard"",",30,1125,30,30,1125,1125,30,1125,,t,1,1,1,1,2021-07-11,7,1,0,2016,2020,4,4,4,4,4,4,4,,f,6,4,2,0,0,83
682634,Highly desirable Ottawa & Wellington Village West!,"This property is located in one of the most desirable Ottawa neighbourhoods. It is a great property with a private rooftop patio with nice views of Centre/West Ottawa and the Gatineau Hills.  Quick and easy access to public transit, amenities of every ki","It is one of the best neighbourhoods in @Ottawa - @Wellington Village West - close to downtown, walking distance to shops, restaurants, live theatre, art galleries, bakeries...it is a fabulous neighbourhood!",3201295,Greg And Valerie,2012-08-08,"Ottawa, Ontario, Canada","Hi! I'm Greg, Calgary born and happily transplanted to Ottawa. Educated and employed as an Economist,  I am also a trained Heritage Carpenter.  Owning and maintaining real estate is a passion of mine.  Giving back to the community is important to me and ",,100,100,t,https://a0.muscache.com/im/users/3201295/profile_pic/1422556870/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3201295/profile_pic/1422556870/original.jpg?aki_policy=profile_x_medium,Braemar Park - Bel Air Heights - Copeland Park,7,7,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,t,"Ottawa, Ontario, Canada",Kitchissippi,,45.40097,-75.73203,Entire townhouse,Entire home/apt,4,1.5 baths,2,2,"[""Hot water kettle"", ""Dishes and silverware"", ""Central air conditioning"", ""Hot water"", ""Microwave"", ""Indoor fireplace"", ""Dual oven stainless steel oven"", ""Wifi"", ""Patio or balcony"", ""Kitchen"", ""Wine glasses"", ""Central heating"", ""Baking sheet"", ""Dining ta",30,1125,30,30,1125,1125,30,1125,,t,0,0,0,5,2021-07-10,4,2,0,2015,2016,5,5,5,5,5,5,4,,t,6,4,2,0,0,96
685334,"Family Home in Ottawa's Hintonburg","Our classic renovated home is one half of a duplex, on a quiet street, close to downtown and Parliament Hill. Enjoy our peaceful shared outdoor garden and patio.<br /><br />Walking distance to the Rosemount library, the Marche grocery store, Parkdale Far","Hintonburg is one of Ottawa's oldest neighborhoods, with lots of character. It has recently become Ottawa's most hip and trendy neighborhood. People come from all over Ottawa for its restaurants, cafes, donuts, ice cream, farmer's markets, and great shop",3495367,Ben,2012-09-06,"Ottawa, Ontario, Canada",home maker / leaf raker,,,,f,https://a0.muscache.com/im/users/3495367/profile_pic/1346982392/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3495367/profile_pic/1346982392/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']",t,t,"Ottawa, Ontario, Canada",Kitchissippi,,45.39946,-75.72498,Entire house,Entire home/apt,6,1 bath,2,4,"[""Indoor fireplace"", ""Wifi"", ""Kitchen"", ""Lockbox"", ""TV"", ""Shampoo"", ""Dedicated workspace"", ""Essentials"", ""Carbon monoxide alarm"", ""Bathtub"", ""Dryer"", ""Air conditioning"", ""Room-darkening shades"", ""Children\u2019s books and toys"", ""Fire extinguisher"", ""Hai",3,14,3,3,14,14,3,14,,t,0,0,0,0,2021-07-10,4,0,0,2017,2013,5,4,4,4,4,4,4,,f,1,1,0,0,0,239
